origin,location,side,phase_bucket,epv,observations
Scrum,22m-5m (opp),Right,4-6,0.934230198732327,24
Scrum,22m-5m (opp),Right,7+,1.1423412079533035,20
Scrum,5m-Goal (opp),Left,1,1.2656962522028352,31
Scrum,5m-Goal (opp),Left,2-3,1.4205521482661163,10
Scrum,5m-Goal (opp),Left,4-6,1.0798695884345846,9
Scrum,5m-Goal (opp),Left,7+,1.8183398060659912,15
Scrum,5m-Goal (opp),Centre,1,1.7989405925967146,86
Scrum,5m-Goal (opp),Centre,2-3,1.8598693524878096,94
Scrum,5m-Goal (opp),Centre,4-6,1.949350291803007,91
Scrum,5m-Goal (opp),Centre,7+,2.827623645523879,157
Scrum,5m-Goal (opp),Right,1,1.679340071683019,29
Scrum,5m-Goal (opp),Right,2-3,1.0677679019605057,14
Scrum,5m-Goal (opp),Right,4-6,0.7952261398677483,9
Scrum,5m-Goal (opp),Right,7+,1.6118137355855795,8
Kick (Open Play),Goal-5m (own),Left,1,-0.14069871761960298,39
Kick (Open Play),Goal-5m (own),Left,2-3,0.2718452328419617,10
Kick (Open Play),Goal-5m (own),Left,4-6,0.4082377379869812,3
Kick (Open Play),Goal-5m (own),Left,7+,0.6872756294696221,0
Kick (Open Play),Goal-5m (own),Centre,1,0.026971269789305353,42
Kick (Open Play),Goal-5m (own),Centre,2-3,0.48574997856031465,7
Kick (Open Play),Goal-5m (own),Centre,4-6,0.651611302653827,2
Kick (Open Play),Goal-5m (own),Centre,7+,0.687275629469622,0
Kick (Open Play),Goal-5m (own),Right,1,-0.14474622952312524,40
Kick (Open Play),Goal-5m (own),Right,2-3,0.22962044163556247,9
Kick (Open Play),Goal-5m (own),Right,4-6,0.5688388874404083,1
Kick (Open Play),Goal-5m (own),Right,7+,0.6872756294696221,0
Kick (Open Play),5m-22m (own),Left,1,-0.24510714650701915,247
Kick (Open Play),5m-22m (own),Left,2-3,-0.05038940415301791,63
Kick (Open Play),5m-22m (own),Left,4-6,0.2846480735809108,10
Kick (Open Play),5m-22m (own),Left,7+,0.5896859504351499,2
Kick (Open Play),5m-22m (own),Centre,1,-0.11325821096962618,174
Kick (Open Play),5m-22m (own),Centre,2-3,0.07008369521072678,57
Kick (Open Play),5m-22m (own),Centre,4-6,0.344808760872456,9
Kick (Open Play),5m-22m (own),Centre,7+,0.6855715894996597,0
Kick (Open Play),5m-22m (own),Right,1,-0.17160984615655653,206
Kick (Open Play),5m-22m (own),Right,2-3,-0.0004295998355294988,48
Kick (Open Play),5m-22m (own),Right,4-6,0.44863422368041705,4
Kick (Open Play),5m-22m (own),Right,7+,0.6855715894996602,0
Kick (Open Play),22m-10m (own),Left,1,0.17612352419933006,503
Kick (Open Play),22m-10m (own),Left,2-3,0.056024316123995485,225
Kick (Open Play),22m-10m (own),Left,4-6,0.14669200993172185,49
Kick (Open Play),22m-10m (own),Left,7+,0.5530655619105175,10
Kick (Open Play),22m-10m (own),Centre,1,0.11880788563258324,378
Kick (Open Play),22m-10m (own),Centre,2-3,0.0596043506016263,440
Kick (Open Play),22m-10m (own),Centre,4-6,0.13180172316344912,153
Kick (Open Play),22m-10m (own),Centre,7+,0.4656486987130896,19
Kick (Open Play),22m-10m (own),Right,1,0.15294886555729292,432
Kick (Open Play),22m-10m (own),Right,2-3,0.11190311871542874,162
Kick (Open Play),22m-10m (own),Right,4-6,0.11887251844917213,45
Kick (Open Play),22m-10m (own),Right,7+,0.5613108137124101,6
Kick (Open Play),10m-Half (own),Left,1,0.3721000271525548,281
Kick (Open Play),10m-Half (own),Left,2-3,0.24433388640687964,194
Kick (Open Play),10m-Half (own),Left,4-6,0.4956190748350254,68
Kick (Open Play),10m-Half (own),Left,7+,0.5512271199306756,22
Kick (Open Play),10m-Half (own),Centre,1,0.3197696460823909,153
Kick (Open Play),10m-Half (own),Centre,2-3,0.3298135764396842,517
Kick (Open Play),10m-Half (own),Centre,4-6,0.347647128449434,243
Kick (Open Play),10m-Half (own),Centre,7+,0.41156660755171703,74
Kick (Open Play),10m-Half (own),Right,1,0.3990437088198045,269
Kick (Open Play),10m-Half (own),Right,2-3,0.3430497349092254,180
Kick (Open Play),10m-Half (own),Right,4-6,0.444455074857921,53
Kick (Open Play),10m-Half (own),Right,7+,0.40943786233309687,10
Kick (Open Play),Half-10m (opp),Left,1,0.5825829321573829,160
Kick (Open Play),Half-10m (opp),Left,2-3,0.5039576073692036,203
Kick (Open Play),Half-10m (opp),Left,4-6,0.5510309218529661,87
Kick (Open Play),Half-10m (opp),Left,7+,0.505657543164195,33
Kick (Open Play),Half-10m (opp),Centre,1,0.6285730506177006,100
Kick (Open Play),Half-10m (opp),Centre,2-3,0.5934220728833989,501
Kick (Open Play),Half-10m (opp),Centre,4-6,0.5987526122123754,352
Kick (Open Play),Half-10m (opp),Centre,7+,0.5019817926344837,124
Kick (Open Play),Half-10m (opp),Right,1,0.5990851027540732,207
Kick (Open Play),Half-10m (opp),Right,2-3,0.5091965810582433,211
Kick (Open Play),Half-10m (opp),Right,4-6,0.5254183253317446,79
Kick (Open Play),Half-10m (opp),Right,7+,0.5923508416915899,22
Kick (Open Play),10m-22m (opp),Left,1,0.6484720994213322,68
Kick (Open Play),10m-22m (opp),Left,2-3,0.7667417722243627,144
Kick (Open Play),10m-22m (opp),Left,4-6,0.77838415365603,114
Kick (Open Play),10m-22m (opp),Left,7+,0.8213578542180997,70
Kick (Open Play),10m-22m (opp),Centre,1,0.7076772814124981,36
Kick (Open Play),10m-22m (opp),Centre,2-3,0.7645564044229088,264
Kick (Open Play),10m-22m (opp),Centre,4-6,0.8969676438104411,360
Kick (Open Play),10m-22m (opp),Centre,7+,0.8640486340252617,338
Kick (Open Play),10m-22m (opp),Right,1,0.6039911476464702,88
Kick (Open Play),10m-22m (opp),Right,2-3,0.7077750158769366,117
Kick (Open Play),10m-22m (opp),Right,4-6,0.7929020951684563,124
Kick (Open Play),10m-22m (opp),Right,7+,0.8225365980227266,63
Kick (Open Play),22m-5m (opp),Left,1,1.7225204917454489,11
Kick (Open Play),22m-5m (opp),Left,2-3,1.0334393089721003,39
Kick (Open Play),22m-5m (opp),Left,4-6,1.2405100275277183,44
Kick (Open Play),22m-5m (opp),Left,7+,1.3145620189582836,79
Kick (Open Play),22m-5m (opp),Centre,1,1.4292202912873684,10
